Subj.Trial,A,pearson,spearman,hsu,percision
2.18,0,1.84E-01,2.38E-01,2.12E-01,2.33E-01
2.19,0.55,2.31E-01,3.01E-01,2.69E-01,2.95E-01
2.2,0,2.63E-01,3.37E-01,3.02E-01,3.30E-01
2.21,1,3.63E-01,4.68E-01,4.18E-01,4.57E-01
2.22,1,3.45E-01,4.47E-01,3.99E-01,4.37E-01
2.23,0,2.06E-01,2.67E-01,2.39E-01,2.62E-01
2.24,1,3.52E-01,4.55E-01,4.06E-01,4.45E-01
2.25,1,3.46E-01,4.48E-01,4.00E-01,4.38E-01
2.26,0,1.91E-01,2.48E-01,2.21E-01,2.42E-01
2.27,0,1.81E-01,2.35E-01,2.10E-01,2.30E-01
2.28,0,1.95E-01,2.53E-01,2.26E-01,2.48E-01
2.29,0,2.06E-01,2.67E-01,2.38E-01,2.61E-01
2.3,1,3.40E-01,4.40E-01,3.93E-01,4.30E-01
2.31,0,1.88E-01,2.43E-01,2.17E-01,2.38E-01
2.32,1,3.47E-01,4.49E-01,4.00E-01,4.39E-01
2.33,1,3.42E-01,4.42E-01,3.94E-01,4.32E-01
2.34,1,3.44E-01,4.45E-01,3.97E-01,4.35E-01
2.35,0.23,2.28E-01,2.95E-01,2.64E-01,2.89E-01
2.36,0.31,2.28E-01,2.95E-01,2.63E-01,2.88E-01
2.37,0.83,2.98E-01,3.87E-01,3.45E-01,3.78E-01
2.38,1,3.46E-01,4.48E-01,4.00E-01,4.38E-01
2.39,1,3.62E-01,4.67E-01,4.17E-01,4.56E-01
2.4,0,2.17E-01,2.81E-01,2.51E-01,2.75E-01
2.41,0,2.62E-01,3.37E-01,3.01E-01,3.29E-01
2.42,0.55,2.44E-01,3.17E-01,2.83E-01,3.10E-01
2.43,1,3.57E-01,4.60E-01,4.11E-01,4.50E-01
2.44,0,2.02E-01,2.62E-01,2.34E-01,2.56E-01
2.45,0,2.32E-01,2.99E-01,2.68E-01,2.93E-01
2.46,1,3.49E-01,4.52E-01,4.03E-01,4.41E-01
2.47,0,1.96E-01,2.55E-01,2.27E-01,2.49E-01
2.48,1,3.54E-01,4.58E-01,4.09E-01,4.48E-01
2.49,0,1.78E-01,2.30E-01,2.06E-01,2.25E-01
2.5,0,2.09E-01,2.71E-01,2.42E-01,2.65E-01
2.51,0,2.03E-01,2.63E-01,2.35E-01,2.57E-01
2.52,0,2.07E-01,2.68E-01,2.39E-01,2.62E-01
